order_id,order_datetime,customer_id,total_amount,num_items
410131,2024-02-03T22:39:54.425166,27,43.58,3
411994,2024-02-03T03:31:57.524811,17,65.19,4
413747,2024-02-01T23:23:27.687091,11,70.11,3
433986,2024-02-07T21:17:38.449176,14,31.34,2
457447,2024-02-09T01:23:35.155956,6,38.88,3
465612,2024-02-09T17:17:22.367148,19,69.81,4
480350,2024-02-09T02:40:55.903737,10,14.42,2
480829,2024-02-05T13:10:17.354841,1,9.81,2
484426,2024-02-06T19:49:33.104613,11,2.41,1
487444,2024-02-06T13:53:18.977070,2,45.78,4
495810,2024-02-10T20:20:35.050768,24,17.67,1
500651,2024-02-02T07:02:24.867357,13,73.39,4
516880,2024-02-04T22:50:58.890693,10,32.99,4
522908,2024-02-07T04:29:36.410754,5,12.31,2
530070,2024-02-06T21:43:50.958690,30,62.67,4
530197,2024-02-04T01:47:52.829289,29,68.36,4
542866,2024-02-10T07:15:33.701681,30,7.72,1
546391,2024-02-01T19:46:41.935875,14,22.24,1
548298,2024-02-06T06:25:11.498468,12,57.51,4
560243,2024-02-06T23:44:17.753683,18,34.92,3
573851,2024-02-04T19:11:51.312153,19,65.2,3
601458,2024-02-07T01:58:44.902688,10,26.57,2
610112,2024-02-10T03:18:14.916883,30,19.22,2
615939,2024-02-02T12:35:11.134154,5,0.51,1
621204,2024-02-09T20:30:56.478025,2,46.3,1
622726,2024-02-07T18:34:02.360675,13,44.64,2
625221,2024-02-04T17:11:36.369546,7,15.17,2
631359,2024-02-04T07:37:35.930819,22,25.84,1
631516,2024-02-04T19:30:05.363934,22,16.68,1
631988,2024-02-10T02:24:18.460598,13,8.05,1
632117,2024-02-09T17:50:34.954989,22,138.67,5
638555,2024-02-06T10:15:15.112403,4,52.19,3
642233,2024-02-05T02:10:52.564629,26,46.99,3
657917,2024-02-06T12:12:06.436815,28,52.74,5
661075,2024-02-04T07:16:18.074426,24,27.33,3
664119,2024-02-04T06:19:52.715802,25,73.61,3
681946,2024-02-09T16:30:05.795005,23,13.27,2
719087,2024-02-01T10:01:18.324031,12,57.52,3
743653,2024-02-07T23:44:13.680304,26,82.88,5
749553,2024-02-06T07:11:50.171365,12,51.84,2
750127,2024-02-07T05:32:59.707807,24,98.95,5
753905,2024-02-04T05:47:10.077252,13,7.38,1
778585,2024-02-10T16:25:20.070603,5,29.52,1
779422,2024-02-07T00:58:21.542490,13,37.47,3
779446,2024-02-06T10:00:07.334078,30,1.02,1
805910,2024-02-06T05:44:27.378530,14,42.21,4
813094,2024-02-07T13:36:59.972877,16,50.51,3
815517,2024-02-10T17:02:20.053286,4,71.95,5
829969,2024-02-10T20:58:41.895822,17,36.11,3
837808,2024-02-09T14:06:38.737900,5,29.25,1
843504,2024-02-07T02:15:23.839513,10,1.83,1
872372,2024-02-02T01:17:25.504066,16,38.18,5
873371,2024-02-06T00:38:57.685113,2,22.26,2
879928,2024-02-07T06:56:05.014043,28,29.78,2
914612,2024-02-09T06:31:15.624828,24,14.5,3
922693,2024-02-04T19:51:45.009768,26,69.29,4
924305,2024-02-06T06:00:25.185754,2,46.71,4
927279,2024-02-10T13:14:30.450792,30,94.68,4
929528,2024-02-04T16:28:25.200766,26,50.94,3
943463,2024-02-01T21:56:07.809998,9,32.39,3
952608,2024-02-05T10:35:00.286865,30,20.1,2
979161,2024-02-09T13:04:05.560585,1,44.02,2
985062,2024-02-04T05:05:54.058469,23,2.9,1
989051,2024-02-04T06:41:42.397949,12,60.98,4
992330,2024-02-07T00:22:40.941937,14,7.32,1
998044,2024-02-09T14:21:15.506836,9,95.07,4
1004698,2024-02-07T15:46:40.035549,22,25.49,3
1011259,2024-02-09T17:01:34.611798,18,14.83,2
1033263,2024-02-04T04:40:46.859246,25,63.86,2
1047675,2024-02-04T16:07:02.241911,24,46.07,4
1049019,2024-02-07T19:23:16.858865,7,51.8,2
1050771,2024-02-09T19:49:25.228254,19,27.78,1
1055705,2024-02-06T10:09:28.218911,27,9.19,1
1058472,2024-02-09T20:31:32.934550,29,49.72,5
1062120,2024-02-06T08:51:47.186451,6,22.14,1
1063459,2024-02-08T00:46:32.381156,21,44.31,3
1073064,2024-02-08T20:54:28.565707,8,44.69,4
1088117,2024-02-01T22:02:47.663706,28,19.56,3
1119953,2024-02-09T08:06:50.651826,13,50.91,3
1121168,2024-02-07T08:08:47.009904,12,9.19,1
1122665,2024-02-09T00:24:00.921577,13,34.91,2
1138150,2024-02-04T11:18:41.005468,6,78.13,4
1144803,2024-02-09T19:40:30.414973,9,19.93,2
1147700,2024-02-01T12:14:44.370570,11,35.06,4
1151808,2024-02-07T04:39:41.457451,11,18.04,3
1178425,2024-02-04T20:01:03.903784,4,34.45,2
1187591,2024-02-07T16:49:54.629424,3,11.18,3
1191125,2024-02-05T02:19:20.143804,24,29.73,2
1193089,2024-02-01T01:19:35.979255,17,28.47,2
1205419,2024-02-04T13:08:13.061443,11,23.9,2
1210080,2024-02-10T14:21:58.685709,22,20.46,2
1212038,2024-02-05T21:15:46.402515,17,74.43,4
1236316,2024-02-09T10:56:56.913781,13,66.77,3
1241370,2024-02-09T05:55:12.687992,11,40.84,3
1242355,2024-02-10T11:01:55.308606,27,25.85,3
1242855,2024-02-04T09:21:45.106664,22,64.27,5
1243546,2024-02-08T15:10:48.313554,30,47.73,5
1252828,2024-02-08T06:29:09.011456,8,34.28,4
1266452,2024-02-06T17:15:38.927412,26,15.02,2
1269483,2024-02-10T15:34:42.395208,7,24.15,1
1274014,2024-02-04T18:05:43.100114,19,64.58,5
1276440,2024-02-07T07:29:49.981643,15,9.6,1
1313863,2024-02-04T20:48:04.754188,2,9.44,1
1320876,2024-02-09T19:40:42.565825,8,34.55,4
1331887,2024-02-09T15:04:45.567162,15,58.24,5
1333443,2024-02-07T14:40:01.694375,19,37.04,1
1335463,2024-02-06T03:11:34.146987,18,18.38,2
1341509,2024-02-07T01:02:40.227176,1,5.49,1
1345431,2024-02-05T11:10:44.318737,29,44.29,4
1346804,2024-02-10T08:24:57.418467,26,26.59,5
1348012,2024-02-06T13:48:29.999636,7,24.68,3
1366285,2024-02-07T00:18:49.700571,25,38.36,2
1378254,2024-02-07T05:07:19.355274,8,24.16,2
1393768,2024-02-01T16:56:51.696464,20,7.53,1
1402952,2024-02-04T12:35:32.047875,28,49.91,4
1413575,2024-02-06T21:44:52.446555,24,119.24,5
1445108,2024-02-09T14:46:01.680856,19,58.54,3
1453841,2024-02-06T12:08:40.182238,22,32.2,1
1472252,2024-02-04T13:00:40.618774,13,8.78,1
1475451,2024-02-05T21:41:22.379699,23,44.67,3
1480050,2024-02-07T07:22:22.415091,13,42.62,3
1487889,2024-02-04T04:58:09.589986,27,1.53,1
1493019,2024-02-06T23:59:02.999980,27,35.5,1
1503503,2024-02-06T11:43:04.544075,8,18.69,2
1514997,2024-02-10T03:48:59.647159,4,19.99,3
1544662,2024-02-05T10:19:38.718570,30,12.62,2
1548817,2024-02-05T23:45:54.592783,28,52.1,4
1561812,2024-02-06T14:10:07.186918,28,69.55,2
1573947,2024-02-06T06:53:24.269856,14,12.05,1
1583182,2024-02-09T00:09:00.286883,17,31.96,2
1600839,2024-02-06T04:48:36.244523,23,33.71,5
1603095,2024-02-03T13:40:36.856363,21,1.83,1
1607336,2024-02-07T17:11:52.650067,2,7.53,2
1611766,2024-02-09T07:35:19.896527,11,78.95,2
1618708,2024-02-09T12:24:11.205644,22,17.41,3
1656026,2024-02-03T10:55:40.157588,1,7.38,1
1656420,2024-02-08T11:24:35.379507,15,57.94,4
1658053,2024-02-07T04:01:20.894307,26,12.94,2
1662378,2024-02-05T01:00:16.437053,2,76.13,4
1685119,2024-02-06T11:50:22.552106,3,76.45,5
1697210,2024-02-07T05:15:23.146072,2,22.8,1
1697563,2024-02-06T19:06:56.658320,7,89.28,5
1700129,2024-02-06T14:36:47.637209,20,68.55,5
1704859,2024-02-07T06:39:33.235378,22,11.04,1
1724735,2024-02-07T21:23:04.123287,12,35.23,2
1735178,2024-02-04T13:36:01.590650,8,16.29,1
1760613,2024-02-10T22:21:36.714968,29,28.08,2
1765482,2024-02-07T07:42:18.250936,7,7.94,1
1771525,2024-02-07T17:20:34.981730,23,40.67,2
1797662,2024-02-10T01:45:38.067911,8,24.28,2
1813082,2024-02-07T01:18:09.166267,5,98.04,5
1823638,2024-02-03T15:53:29.039275,27,53.71,4
1834210,2024-02-04T01:59:47.627694,26,47.09,5
1842121,2024-02-06T15:41:14.434465,4,11.6,1
1847370,2024-02-07T00:17:36.286703,30,29.09,4
1850298,2024-02-05T15:22:05.827170,14,18.52,1
1865532,2024-02-04T18:58:31.835649,18,7.53,1
1890084,2024-02-07T07:58:22.738929,22,13.23,3
1902508,2024-02-07T19:36:39.398478,16,30.6,3
1912923,2024-02-09T01:05:46.875410,19,17.55,1
1916967,2024-02-07T00:05:39.992699,20,5.43,1
1918353,2024-02-07T05:55:47.756668,21,5.89,1
1925352,2024-02-06T04:25:20.431916,9,2.42,1
1926193,2024-02-01T21:25:25.195183,10,43.42,3
1928375,2024-02-09T20:56:24.493334,16,88.44,3
1931079,2024-02-05T01:30:37.916837,2,55.2,4
1933576,2024-02-03T23:31:20.408895,8,44.02,3
1958634,2024-02-08T14:35:53.305509,26,14.98,2
1961707,2024-02-05T17:12:22.983356,23,5.72,1
1974375,2024-02-07T03:26:32.056035,29,54.77,3
1981500,2024-02-06T04:12:13.213099,1,63.63,3
1982346,2024-02-07T05:45:28.258739,2,17.66,3
1994981,2024-02-06T14:26:35.442448,27,35.11,4
2057229,2024-02-06T06:09:35.005269,13,52.87,3
2060626,2024-02-06T04:16:44.487485,14,44.43,2
2074880,2024-02-06T04:50:37.190721,11,34.32,3
2087536,2024-02-04T03:47:19.066357,19,22.8,1
2087609,2024-02-05T07:15:29.465182,20,45.95,1
2090472,2024-02-03T18:55:52.028305,13,33.27,3
2091670,2024-02-04T19:24:50.874444,25,14.16,1
2106198,2024-02-06T11:47:07.887985,18,66.36,5
2125146,2024-02-10T16:21:33.038304,5,34.17,3
2218420,2024-02-06T15:57:55.302498,7,101.34,4
2245991,2024-02-10T12:15:25.250298,19,6.46,1
2252383,2024-02-10T10:53:25.912297,23,21.45,4
2257582,2024-02-04T11:38:16.170692,6,54.68,4
2260738,2024-02-09T03:26:24.424004,23,40.08,3
2270561,2024-02-05T16:27:56.307402,19,71.39,4
2278442,2024-02-04T17:04:48.212916,22,48.38,3
2280528,2024-02-04T02:03:46.914038,23,18.64,2
2280541,2024-02-07T14:10:26.904743,5,51.1,4
2283680,2024-02-04T17:15:37.583884,19,43.9,1
2286177,2024-02-05T07:39:56.303019,19,61.44,4
2289661,2024-02-04T15:29:29.545912,4,29.52,1
2291051,2024-02-06T07:33:24.688447,17,28.06,3
2300598,2024-02-07T15:03:28.830390,1,40.54,3
2301825,2024-02-04T05:30:13.048615,3,11.58,1
2330856,2024-02-04T23:25:28.141564,10,73.84,4
2337340,2024-02-04T19:13:17.112515,7,31.31,4
2342350,2024-02-01T23:57:27.682810,25,117.4,5
2360882,2024-02-06T13:03:38.101231,29,32.31,2
2367392,2024-02-04T02:43:53.084042,1,22.85,2
2368142,2024-02-07T08:44:48.265765,17,6.84,1
2370973,2024-02-04T14:03:03.427825,9,25.07,2
2377103,2024-02-06T22:54:33.858493,12,36.12,3
2396748,2024-02-03T03:08:04.178718,23,73.13,5
2398135,2024-02-04T00:44:49.769293,6,44.51,3
2398997,2024-02-03T10:06:02.191499,13,8.55,1
2399931,2024-02-04T18:52:17.944553,12,57.4,3
2404788,2024-02-05T15:44:35.884284,5,1.21,1
2406562,2024-02-10T06:23:21.040495,1,54.25,3
2417734,2024-02-07T06:57:20.756654,5,17.56,1
2430430,2024-02-09T20:37:01.277348,17,11.4,1
2440352,2024-02-01T10:09:53.390838,5,21.54,2
2450968,2024-02-04T04:05:25.096315,16,71.77,5
2452903,2024-02-04T01:51:33.455450,1,14.47,2
2453612,2024-02-04T20:08:58.924946,10,112.85,5
2465879,2024-02-04T20:59:57.155764,29,70.9,5
2473951,2024-02-07T14:57:35.947192,4,79.31,3
2483910,2024-02-07T09:56:18.120477,26,67.92,4
2496618,2024-02-05T06:04:01.665184,27,31.63,2
2496861,2024-02-06T23:40:01.628140,15,116.39,4
2510576,2024-02-04T17:27:16.052649,4,23.74,3
2516329,2024-02-04T06:38:57.287758,19,36.9,1
2528928,2024-02-09T16:33:24.722455,20,9.19,1
2542626,2024-02-09T12:04:40.166740,6,38.55,3
2543705,2024-02-03T08:26:00.392949,5,105.53,5
2547591,2024-02-07T11:10:43.965951,21,84.89,4
2554495,2024-02-04T19:27:15.171718,20,28.8,2
2560382,2024-02-03T06:55:46.740257,29,45.14,4
2570947,2024-02-07T00:37:25.662397,25,32.18,2
2581283,2024-02-07T02:53:55.465405,23,46.21,4
2585670,2024-02-07T11:24:28.126815,20,72.26,4
2595914,2024-02-09T18:11:24.953903,16,53.85,3
2597731,2024-02-06T20:33:12.874212,20,66.34,4
2623526,2024-02-07T12:31:00.438446,26,3.77,1
2641124,2024-02-06T23:58:30.681732,10,61.9,4
2642016,2024-02-04T09:48:59.960956,8,43.46,4
2645080,2024-02-01T20:35:57.974401,9,40.95,1
2656759,2024-02-05T15:17:28.215769,7,71.13,4
2659468,2024-02-05T10:21:58.075530,21,47.67,4
2675931,2024-02-09T07:03:38.011294,5,22.11,3
2678020,2024-02-10T15:32:58.175366,10,0.0,1
2688271,2024-02-01T04:45:51.672686,16,63.06,3
2699666,2024-02-04T13:57:53.861931,16,16.45,2
2701884,2024-02-04T15:01:51.526558,17,105.76,5
2713660,2024-02-01T05:41:34.510385,20,53.67,4
2740190,2024-02-03T02:38:12.821942,30,20.73,1
2746625,2024-02-04T10:17:13.424779,30,66.12,5
2748227,2024-02-05T20:48:03.844784,4,3.47,2
2776668,2024-02-07T08:38:12.322618,11,1.71,1
2790570,2024-02-06T08:46:46.561692,6,64.86,5
2801588,2024-02-04T20:18:01.336353,11,27.6,1
2810511,2024-02-01T20:02:24.519428,14,37.2,2
2817465,2024-02-02T10:19:01.810301,2,32.06,2
2828650,2024-02-04T02:14:22.467776,14,57.94,4
2829576,2024-02-09T19:33:03.377539,20,0.0,1
2830368,2024-02-01T15:35:36.047111,7,22.8,1
2841390,2024-02-04T09:38:40.417306,1,17.39,2
2841456,2024-02-04T23:37:22.457879,19,55.29,4
2842500,2024-02-04T20:21:56.215846,5,6.05,1
2843577,2024-02-07T18:22:06.566510,26,60.79,3
2843820,2024-02-01T05:09:34.832619,17,32.2,1
2852493,2024-02-07T00:21:22.068461,15,7.26,2
2863083,2024-02-07T07:27:31.262637,20,35.98,2
2903445,2024-02-09T09:31:24.947900,12,5.43,1
2908477,2024-02-09T22:41:53.051329,21,63.87,4
2916960,2024-02-05T16:51:43.746861,5,57.48,3
2928964,2024-02-04T00:54:29.094444,20,9.6,1
2932693,2024-02-04T22:44:17.818825,23,6.31,2
2936192,2024-02-03T10:33:10.486416,4,58.51,3
2936202,2024-02-07T14:09:46.331948,19,46.55,3
2974575,2024-02-05T06:58:26.689161,24,32.3,1
2980900,2024-02-06T06:39:33.768985,1,5.56,1
2985842,2024-02-07T21:34:00.403830,15,43.77,4
3015766,2024-02-06T00:37:37.826073,25,1.64,1
3029599,2024-02-04T04:02:05.418825,11,19.34,2
3035377,2024-02-08T14:47:57.716485,22,47.97,5
3052894,2024-02-10T13:13:12.975835,10,9.6,1
3070120,2024-02-05T17:48:59.702870,15,71.39,4
3087756,2024-02-06T07:39:47.377161,5,87.12,4
3092959,2024-02-08T04:04:14.595605,11,8.7,1
3101191,2024-02-07T08:12:44.558735,3,79.82,4
3117459,2024-02-07T10:27:42.117468,29,40.73,2
3118576,2024-02-05T08:33:08.643827,14,1.83,1
3159736,2024-02-09T03:27:27.135035,22,76.95,5
3170943,2024-02-09T17:48:22.366297,16,27.64,1
3181086,2024-02-01T17:46:54.644159,17,67.85,5
3183519,2024-02-06T12:27:40.120832,26,61.95,4
3193272,2024-02-03T03:49:45.432883,7,7.68,1
3213555,2024-02-07T02:56:19.953443,13,7.68,1
3219983,2024-02-09T22:53:42.623171,17,53.55,3
3220660,2024-02-07T11:55:35.844822,24,7.54,1
3230934,2024-02-04T11:03:54.895761,27,4.84,1
3239520,2024-02-06T14:42:38.534628,30,45.31,2
3244294,2024-02-08T05:54:54.466501,20,17.63,3
3274288,2024-02-03T10:03:03.729410,7,47.38,3
3278633,2024-02-07T21:22:27.189699,10,2.9,1
3297328,2024-02-07T07:07:44.020008,22,55.26,4
3306591,2024-02-10T20:20:19.862003,30,36.27,3
3313977,2024-02-01T05:24:54.084644,14,5.56,1
3314665,2024-02-03T18:00:02.129148,11,33.0,2
3317587,2024-02-05T00:22:22.749802,7,54.86,3
3328233,2024-02-05T09:18:54.869415,22,43.86,4
3329249,2024-02-04T11:03:20.456316,15,40.92,5
3343577,2024-02-07T08:47:33.051383,5,21.47,4
3367609,2024-02-05T19:50:34.890393,2,5.8,1
3375857,2024-02-06T00:01:22.989716,20,27.55,2
3387870,2024-02-03T03:42:34.917894,22,16.81,2
3388074,2024-02-07T18:46:32.683572,25,46.96,4
3392952,2024-02-04T17:19:33.028338,9,44.2,1
3400091,2024-02-09T00:48:33.355531,3,104.66,5
3402347,2024-02-08T16:35:22.274604,29,76.69,4
3404357,2024-02-01T11:29:01.198352,15,47.3,3
3404816,2024-02-03T06:31:41.780591,5,30.18,2
3447362,2024-02-04T16:58:22.354604,14,23.48,2
3453594,2024-02-05T21:52:22.939480,11,44.28,2
3456276,2024-02-07T21:45:58.188910,20,7.53,1
3460984,2024-02-04T03:21:48.340543,13,34.38,5
3488322,2024-02-07T02:18:52.665885,15,37.29,3
3491532,2024-02-03T08:18:25.630449,18,42.68,3
3492784,2024-02-06T14:39:06.918432,20,13.04,2
3498365,2024-02-05T13:55:52.531759,16,78.13,4
3502581,2024-02-09T23:58:12.930564,11,4.82,1
3510055,2024-02-06T08:03:50.285940,7,58.68,2
3516206,2024-02-07T09:34:35.305941,16,45.29,4
3527778,2024-02-07T19:47:26.455918,18,24.05,2
3533502,2024-02-03T10:29:48.223010,1,110.82,5
3549260,2024-02-05T09:14:13.557033,11,22.52,1
3554657,2024-02-03T02:44:44.993721,9,63.3,4
3565212,2024-02-06T01:59:06.216434,23,5.49,1
3568206,2024-02-09T01:54:14.006702,17,54.77,4
3569297,2024-02-09T20:18:35.556514,15,37.67,4
3569740,2024-02-09T18:35:12.719361,21,1.71,1
3571421,2024-02-03T03:36:17.660225,25,36.9,1
3572301,2024-02-04T01:33:13.469859,27,35.36,1
3572668,2024-02-06T07:09:02.571457,1,3.63,1
3588288,2024-02-09T19:10:06.668367,28,18.88,1
3589046,2024-02-05T02:19:58.904273,25,32.22,3
3625565,2024-02-03T06:54:58.443888,5,53.5,3
3628004,2024-02-07T03:40:16.574555,9,2.55,1
3630345,2024-02-09T13:04:10.865284,25,62.41,4
3632712,2024-02-09T03:56:21.278141,16,27.0,2
3634265,2024-02-06T07:38:38.078598,14,5.85,1
3642131,2024-02-04T11:59:39.740799,27,44.88,2
3646438,2024-02-06T20:07:10.898333,28,117.41,5
3672023,2024-02-07T23:06:49.545851,26,23.57,3
3680581,2024-02-01T16:59:33.135877,26,21.18,2
3697828,2024-02-09T03:26:11.359627,14,63.1,4
3709174,2024-02-07T11:53:06.219947,3,39.76,2
3714136,2024-02-01T11:59:04.189922,6,68.49,5
3714448,2024-02-08T23:45:28.645872,23,2.55,1
3733605,2024-02-04T13:22:18.764364,13,94.12,3
3749302,2024-02-10T10:58:48.801033,20,74.21,4
3769762,2024-02-07T19:11:27.624108,25,74.39,5
3772702,2024-02-07T21:41:10.675162,21,46.36,3
3793461,2024-02-05T03:25:17.122699,7,11.25,1
3812649,2024-02-04T21:54:08.623063,17,18.85,1
3812938,2024-02-05T23:36:05.294233,12,37.63,2
3824154,2024-02-06T03:47:06.150993,8,92.28,4
3825133,2024-02-06T00:01:15.066779,12,69.59,5
3841384,2024-02-03T20:20:56.126978,11,32.85,2
3851941,2024-02-06T15:15:19.827568,1,64.93,3
3853225,2024-02-04T12:49:14.398026,30,53.26,4
3863889,2024-02-07T20:41:19.503959,2,71.11,3
3867126,2024-02-10T12:03:24.536562,17,18.3,2
3868474,2024-02-04T16:05:08.955049,23,16.34,3
3870441,2024-02-10T12:12:20.397288,26,27.85,4
3897315,2024-02-03T18:51:01.807640,23,7.68,1
3904602,2024-02-09T15:33:49.698920,23,26.38,3
3905053,2024-02-03T01:49:30.627622,13,37.25,3
3911364,2024-02-06T07:17:31.626097,7,57.51,5
3918250,2024-02-01T19:22:49.458817,23,90.94,5
3919501,2024-02-04T07:19:05.426781,30,31.98,3
3925180,2024-02-09T20:03:10.014533,15,2.42,1
3927663,2024-02-10T17:00:34.802642,20,9.6,1
3940702,2024-02-06T01:47:25.377055,1,63.54,3
3976417,2024-02-09T08:53:39.533989,22,5.63,1
3977514,2024-02-06T09:13:34.447061,19,98.96,4
3978231,2024-02-10T01:34:38.550391,5,91.47,5
3992173,2024-02-07T14:45:57.896570,25,58.42,4
3999230,2024-02-05T16:16:49.009774,5,17.63,2
4016776,2024-02-05T06:59:15.091348,6,28.35,2
4028208,2024-02-09T04:28:49.655258,20,2.86,1
4031885,2024-02-05T07:01:12.829195,3,55.96,4
4040162,2024-02-04T05:45:04.728205,7,44.22,3
4042251,2024-02-07T22:17:18.378697,21,29.56,3
4062278,2024-02-03T10:39:21.559229,5,38.4,2
4070541,2024-02-03T20:52:29.095949,22,0.51,1
4076362,2024-02-07T23:54:20.105075,17,80.46,4
4089145,2024-02-01T20:58:47.447190,1,1.43,1
4096586,2024-02-10T05:40:16.446304,28,43.45,5
4097006,2024-02-07T03:31:28.486665,21,4.82,1
4100221,2024-02-06T18:02:19.060486,25,36.76,1
4105296,2024-02-05T12:57:28.671555,13,36.62,3
4114608,2024-02-10T12:51:06.741706,16,43.31,3
4117163,2024-02-07T00:28:18.217351,25,3.84,1
4122319,2024-02-01T14:21:52.020605,26,24.3,3
4148485,2024-02-09T03:15:37.706015,24,73.47,4
4152142,2024-02-10T02:38:43.121810,19,38.51,4
4153647,2024-02-09T15:33:53.661200,22,3.28,1
4176569,2024-02-09T02:56:03.792055,15,23.4,1
4183905,2024-02-04T14:31:14.683961,3,35.97,2
4192433,2024-02-09T03:15:16.371999,24,35.93,2
4196717,2024-02-04T13:41:17.693166,18,2.46,1
4231556,2024-02-10T11:56:44.951324,30,62.74,4
4240786,2024-02-05T10:41:27.460008,22,34.55,1
4247401,2024-02-10T15:20:14.391061,4,58.87,5
4255804,2024-02-09T22:05:54.900022,19,10.34,4
4263228,2024-02-07T03:08:56.171318,15,34.87,3
4265607,2024-02-01T13:51:36.916125,7,29.43,2
4271136,2024-02-02T17:34:09.271564,15,31.48,2
4302269,2024-02-01T19:10:10.669610,15,37.76,2
4311998,2024-02-10T10:37:17.625228,8,85.9,5
4322745,2024-02-06T05:42:42.033893,13,3.63,1
4331621,2024-02-01T10:16:38.022551,4,54.48,4
4335670,2024-02-07T13:11:32.855312,21,37.75,3
4359542,2024-02-04T07:41:52.913658,20,50.3,4
4396609,2024-02-05T21:53:08.422543,24,22.95,2
4407332,2024-02-10T04:07:35.507663,20,33.48,3
4416044,2024-02-04T02:29:24.508135,6,84.59,4
4417598,2024-02-10T19:20:20.442588,14,23.14,4
4442115,2024-02-07T14:00:06.726191,7,69.43,5
4451000,2024-02-09T23:54:20.902152,2,43.93,2
4486751,2024-02-06T07:36:44.940732,29,19.78,2
4489647,2024-02-09T19:09:51.031615,23,6.05,1
4495584,2024-02-03T23:09:13.323140,26,57.34,2
4503258,2024-02-04T08:03:48.674848,4,51.64,4
4503612,2024-02-09T21:09:41.271966,28,2.86,1
4512929,2024-02-04T16:49:08.538399,2,11.12,1
4519171,2024-02-06T06:16:57.628512,17,47.14,3
4521067,2024-02-10T03:25:52.071951,29,86.81,5
4533647,2024-02-04T08:14:31.987024,23,32.16,4
4537428,2024-02-03T17:59:19.528584,13,41.77,4
4549362,2024-02-04T21:16:21.900845,12,57.35,5
4549551,2024-02-04T04:12:23.971300,28,15.08,1
4555847,2024-02-04T12:30:34.921273,20,11.7,1
4566507,2024-02-07T07:48:46.611046,5,55.7,2
4568281,2024-02-03T02:11:25.816085,26,73.05,3
4578539,2024-02-01T04:48:55.678907,16,85.66,4
4584654,2024-02-06T16:22:00.272948,29,27.57,1
4601889,2024-02-04T23:51:07.097902,3,67.54,3
4634884,2024-02-06T17:29:14.141381,24,68.76,5
4664583,2024-02-05T04:30:08.918212,26,65.36,5
4671700,2024-02-09T04:47:38.626733,14,12.35,2
4682473,2024-02-04T13:49:28.284884,28,47.08,2
4683047,2024-02-07T20:14:04.352535,10,35.12,1
4693195,2024-02-01T18:57:59.674145,3,16.68,1
4695394,2024-02-06T05:27:59.381447,5,29.65,4
4707436,2024-02-10T21:55:43.384454,5,38.38,2
4708802,2024-02-04T23:35:38.458770,8,23.6,1
4737209,2024-02-04T13:18:59.454920,3,84.86,3
4740593,2024-02-06T02:57:34.807997,9,27.66,2
4747830,2024-02-04T02:25:38.122689,26,57.8,4
4751689,2024-02-09T21:35:51.498563,8,76.08,4
4754884,2024-02-07T01:39:02.781165,18,13.39,2
