order_id,product_id,quantity,unit_price,line_total
222376,27,5,1.71,8.55
225440,1,3,8.05,24.15
225440,2,4,0.51,2.04
225440,12,2,8.78,17.56
225440,27,3,1.71,5.13
232667,8,3,7.74,23.22
232667,10,4,1.43,5.72
232667,18,3,6.46,19.38
232667,23,5,5.7,28.5
232667,25,4,2.51,10.04
233413,3,2,7.38,14.76
233413,21,3,5.7,17.1
235739,2,5,0.51,2.55
235739,3,5,7.38,36.9
244301,2,3,0.51,1.53
244301,15,2,5.56,11.12
244301,16,1,5.85,5.85
244301,19,1,2.9,2.9
244301,33,1,5.52,5.52
248253,1,2,8.05,16.1
248253,11,3,5.63,16.89
248253,32,1,2.41,2.41
248253,33,5,5.52,27.6
252096,4,2,5.89,11.78
252096,18,1,6.46,6.46
252096,21,4,5.7,22.8
252096,31,2,1.83,3.66
262441,6,2,0.82,1.64
264932,9,5,9.19,45.95
264932,11,2,5.63,11.26
264932,26,3,2.25,6.75
270167,18,4,6.46,25.84
270167,28,5,3.77,18.85
270167,36,2,8.84,17.68
273449,25,4,2.51,10.04
281029,22,3,1.21,3.63
290402,22,1,1.21,1.21
290402,23,3,5.7,17.1
294218,9,3,9.19,27.57
294218,16,4,5.85,23.4
299066,4,2,5.89,11.78
299066,19,3,2.9,8.7
303953,5,3,5.38,16.14
303953,19,2,2.9,5.8
303953,24,5,3.97,19.85
311622,10,4,1.43,5.72
311622,11,2,5.63,11.26
311622,18,4,6.46,25.84
326444,3,1,7.38,7.38
326444,16,5,5.85,29.25
326444,22,5,1.21,6.05
326444,31,3,1.83,5.49
329229,1,3,8.05,24.15
329229,23,2,5.7,11.4
332198,34,3,7.1,21.3
337194,22,1,1.21,1.21
337194,24,2,3.97,7.94
389358,27,4,1.71,6.84
389358,29,2,4.72,9.44
389358,34,2,7.1,14.2
389358,35,1,9.26,9.26
403992,8,4,7.74,30.96
403992,17,1,5.43,5.43
403992,24,1,3.97,3.97
403992,30,2,1.14,2.28
410131,13,3,6.91,20.73
410131,19,4,2.9,11.6
410131,26,5,2.25,11.25
411994,1,2,8.05,16.1
411994,13,3,6.91,20.73
411994,17,5,5.43,27.15
411994,22,1,1.21,1.21
413747,13,5,6.91,34.55
413747,15,3,5.56,16.68
413747,29,4,4.72,18.88
433986,32,2,2.41,4.82
433986,36,3,8.84,26.52
457447,1,3,8.05,24.15
457447,28,3,3.77,11.31
457447,30,3,1.14,3.42
465612,1,1,8.05,8.05
465612,6,1,0.82,0.82
465612,8,5,7.74,38.7
465612,15,4,5.56,22.24
480350,24,3,3.97,11.91
480350,25,1,2.51,2.51
480829,25,3,2.51,7.53
480829,30,2,1.14,2.28
484426,32,1,2.41,2.41
487444,1,2,8.05,16.1
487444,10,2,1.43,2.86
487444,14,3,8.19,24.57
487444,26,1,2.25,2.25
495810,4,3,5.89,17.67
500651,4,1,5.89,5.89
500651,18,5,6.46,32.3
500651,19,4,2.9,11.6
500651,29,5,4.72,23.6
516880,6,1,0.82,0.82
516880,17,2,5.43,10.86
516880,32,5,2.41,12.05
516880,35,1,9.26,9.26
522908,16,1,5.85,5.85
522908,18,1,6.46,6.46
530070,18,5,6.46,32.3
530070,20,5,1.92,9.6
530070,26,1,2.25,2.25
530070,35,2,9.26,18.52
530197,8,2,7.74,15.48
530197,19,2,2.9,5.8
530197,25,4,2.51,10.04
530197,35,4,9.26,37.04
542866,7,2,3.86,7.72
546391,15,4,5.56,22.24
548298,9,3,9.19,27.57
548298,10,2,1.43,2.86
548298,24,5,3.97,19.85
548298,32,3,2.41,7.23
560243,15,2,5.56,11.12
560243,25,5,2.51,12.55
560243,26,5,2.25,11.25
573851,3,2,7.38,14.76
573851,13,4,6.91,27.64
573851,23,4,5.7,22.8
601458,9,2,9.19,18.38
601458,14,1,8.19,8.19
610112,19,5,2.9,14.5
610112,29,1,4.72,4.72
615939,2,1,0.51,0.51
621204,35,5,9.26,46.3
622726,5,3,5.38,16.14
622726,21,5,5.7,28.5
625221,24,2,3.97,7.94
625221,32,3,2.41,7.23
631359,18,4,6.46,25.84
631516,15,3,5.56,16.68
631988,1,1,8.05,8.05
632117,3,2,7.38,14.76
632117,8,3,7.74,23.22
632117,12,5,8.78,43.9
632117,13,5,6.91,34.55
632117,15,4,5.56,22.24
638555,9,1,9.19,9.19
638555,19,5,2.9,14.5
638555,23,5,5.7,28.5
642233,4,1,5.89,5.89
642233,17,4,5.43,21.72
642233,18,3,6.46,19.38
657917,8,1,7.74,7.74
657917,11,2,5.63,11.26
657917,14,1,8.19,8.19
657917,17,3,5.43,16.29
657917,35,1,9.26,9.26
661075,5,3,5.38,16.14
661075,23,1,5.7,5.7
661075,31,3,1.83,5.49
664119,7,5,3.86,19.3
664119,9,4,9.19,36.76
664119,16,3,5.85,17.55
681946,22,3,1.21,3.63
681946,32,4,2.41,9.64
719087,1,3,8.05,24.15
719087,18,4,6.46,25.84
719087,25,3,2.51,7.53
743653,8,5,7.74,38.7
743653,16,1,5.85,5.85
743653,17,4,5.43,21.72
743653,32,1,2.41,2.41
743653,34,2,7.1,14.2
749553,12,5,8.78,43.9
749553,24,2,3.97,7.94
750127,7,2,3.86,7.72
750127,9,5,9.19,45.95
750127,18,3,6.46,19.38
750127,19,5,2.9,14.5
750127,21,2,5.7,11.4
753905,3,1,7.38,7.38
778585,3,4,7.38,29.52
779422,24,3,3.97,11.91
779422,26,4,2.25,9.0
779422,33,3,5.52,16.56
779446,2,2,0.51,1.02
805910,10,2,1.43,2.86
805910,11,4,5.63,22.52
805910,20,4,1.92,7.68
805910,31,5,1.83,9.15
813094,3,4,7.38,29.52
813094,24,5,3.97,19.85
813094,30,1,1.14,1.14
815517,15,1,5.56,5.56
815517,19,4,2.9,11.6
815517,23,1,5.7,5.7
815517,32,5,2.41,12.05
815517,35,4,9.26,37.04
829969,3,1,7.38,7.38
829969,5,5,5.38,26.9
829969,31,1,1.83,1.83
837808,16,5,5.85,29.25
843504,31,1,1.83,1.83
872372,8,2,7.74,15.48
872372,14,1,8.19,8.19
872372,23,1,5.7,5.7
872372,27,1,1.71,1.71
872372,34,1,7.1,7.1
873371,17,2,5.43,10.86
873371,23,2,5.7,11.4
879928,15,4,5.56,22.24
879928,28,2,3.77,7.54
914612,2,3,0.51,1.53
914612,11,2,5.63,11.26
914612,27,1,1.71,1.71
922693,12,2,8.78,17.56
922693,23,3,5.7,17.1
922693,25,5,2.51,12.55
922693,33,4,5.52,22.08
924305,5,3,5.38,16.14
924305,10,2,1.43,2.86
924305,11,1,5.63,5.63
924305,33,4,5.52,22.08
927279,9,4,9.19,36.76
927279,13,3,6.91,20.73
927279,17,5,5.43,27.15
927279,25,4,2.51,10.04
929528,15,3,5.56,16.68
929528,20,3,1.92,5.76
929528,23,5,5.7,28.5
943463,9,2,9.19,18.38
943463,24,1,3.97,3.97
943463,25,4,2.51,10.04
952608,22,2,1.21,2.42
952608,36,2,8.84,17.68
979161,11,2,5.63,11.26
979161,14,4,8.19,32.76
985062,19,1,2.9,2.9
989051,3,3,7.38,22.14
989051,9,2,9.19,18.38
989051,28,3,3.77,11.31
989051,31,5,1.83,9.15
992330,31,4,1.83,7.32
998044,3,1,7.38,7.38
998044,9,5,9.19,45.95
998044,18,5,6.46,32.3
998044,29,2,4.72,9.44
1004698,2,5,0.51,2.55
1004698,12,1,8.78,8.78
1004698,29,3,4.72,14.16
1011259,25,5,2.51,12.55
1011259,30,2,1.14,2.28
1033263,21,5,5.7,28.5
1033263,36,4,8.84,35.36
1047675,8,3,7.74,23.22
1047675,28,4,3.77,15.08
1047675,30,2,1.14,2.28
1047675,31,3,1.83,5.49
1049019,12,4,8.78,35.12
1049019,15,3,5.56,16.68
1050771,35,3,9.26,27.78
1055705,9,1,9.19,9.19
1058472,7,5,3.86,19.3
1058472,8,2,7.74,15.48
1058472,19,1,2.9,2.9
1058472,29,1,4.72,4.72
1058472,31,4,1.83,7.32
1062120,3,3,7.38,22.14
1063459,10,1,1.43,1.43
1063459,15,5,5.56,27.8
1063459,28,4,3.77,15.08
1073064,10,4,1.43,5.72
1073064,25,3,2.51,7.53
1073064,31,2,1.83,3.66
1073064,35,3,9.26,27.78
1088117,6,1,0.82,0.82
1088117,10,2,1.43,2.86
1088117,24,4,3.97,15.88
1119953,6,5,0.82,4.1
1119953,12,2,8.78,17.56
1119953,16,5,5.85,29.25
1121168,9,1,9.19,9.19
1122665,28,3,3.77,11.31
1122665,29,5,4.72,23.6
1138150,18,3,6.46,19.38
1138150,31,4,1.83,7.32
1138150,32,3,2.41,7.23
1138150,36,5,8.84,44.2
1144803,26,1,2.25,2.25
1144803,36,2,8.84,17.68
1147700,6,1,0.82,0.82
1147700,18,3,6.46,19.38
1147700,28,2,3.77,7.54
1147700,31,4,1.83,7.32
1151808,5,2,5.38,10.76
1151808,10,1,1.43,1.43
1151808,16,1,5.85,5.85
1178425,1,4,8.05,32.2
1178425,26,1,2.25,2.25
1187591,2,3,0.51,1.53
1187591,22,2,1.21,2.42
1187591,32,3,2.41,7.23
1191125,32,5,2.41,12.05
1191125,36,2,8.84,17.68
1193089,8,1,7.74,7.74
1193089,13,3,6.91,20.73
1205419,25,2,2.51,5.02
1205419,29,4,4.72,18.88
1210080,24,3,3.97,11.91
1210080,27,5,1.71,8.55
1212038,1,5,8.05,40.25
1212038,24,5,3.97,19.85
1212038,32,3,2.41,7.23
1212038,34,1,7.1,7.1
1236316,9,4,9.19,36.76
1236316,10,2,1.43,2.86
1236316,17,5,5.43,27.15
1241370,3,1,7.38,7.38
1241370,7,5,3.86,19.3
1241370,29,3,4.72,14.16
1242355,10,1,1.43,1.43
1242355,21,3,5.7,17.1
1242355,31,4,1.83,7.32
1242855,7,4,3.86,15.44
1242855,12,2,8.78,17.56
1242855,15,1,5.56,5.56
1242855,22,3,1.21,3.63
1242855,33,4,5.52,22.08
1243546,11,1,5.63,5.63
1243546,22,3,1.21,3.63
1243546,23,3,5.7,17.1
1243546,24,4,3.97,15.88
1243546,31,3,1.83,5.49
1252828,3,1,7.38,7.38
1252828,6,1,0.82,0.82
1252828,28,5,3.77,18.85
1252828,32,3,2.41,7.23
1266452,6,1,0.82,0.82
1266452,34,2,7.1,14.2
1269483,1,3,8.05,24.15
1274014,17,5,5.43,27.15
1274014,18,3,6.46,19.38
1274014,21,2,5.7,11.4
1274014,31,1,1.83,1.83
1274014,32,2,2.41,4.82
1276440,20,5,1.92,9.6
1313863,29,2,4.72,9.44
1320876,18,2,6.46,12.92
1320876,21,3,5.7,17.1
1320876,26,1,2.25,2.25
1320876,30,2,1.14,2.28
1331887,2,5,0.51,2.55
1331887,15,2,5.56,11.12
1331887,25,3,2.51,7.53
1331887,29,2,4.72,9.44
1331887,33,5,5.52,27.6
1333443,35,4,9.26,37.04
1335463,6,1,0.82,0.82
1335463,12,2,8.78,17.56
1341509,31,3,1.83,5.49
1345431,19,3,2.9,8.7
1345431,28,1,3.77,3.77
1345431,30,3,1.14,3.42
1345431,34,4,7.1,28.4
1346804,2,3,0.51,1.53
1346804,14,1,8.19,8.19
1346804,20,2,1.92,3.84
1346804,28,1,3.77,3.77
1346804,35,1,9.26,9.26
1348012,6,5,0.82,4.1
1348012,10,3,1.43,4.29
1348012,17,3,5.43,16.29
1366285,3,4,7.38,29.52
1366285,36,1,8.84,8.84
1378254,15,4,5.56,22.24
1378254,20,1,1.92,1.92
1393768,25,3,2.51,7.53
1402952,2,5,0.51,2.55
1402952,7,4,3.86,15.44
1402952,23,5,5.7,28.5
1402952,27,2,1.71,3.42
1413575,4,5,5.89,29.45
1413575,24,5,3.97,19.85
1413575,26,2,2.25,4.5
1413575,34,4,7.1,28.4
1413575,35,4,9.26,37.04
1445108,5,3,5.38,16.14
1445108,24,4,3.97,15.88
1445108,36,3,8.84,26.52
1453841,1,4,8.05,32.2
1472252,12,1,8.78,8.78
1475451,2,4,0.51,2.04
1475451,12,3,8.78,26.34
1475451,17,3,5.43,16.29
1480050,9,3,9.19,27.57
1480050,22,5,1.21,6.05
1480050,26,4,2.25,9.0
1487889,2,3,0.51,1.53
1493019,34,5,7.1,35.5
1503503,2,5,0.51,2.55
1503503,5,3,5.38,16.14
1514997,8,1,7.74,7.74
1514997,25,3,2.51,7.53
1514997,29,1,4.72,4.72
1544662,2,2,0.51,1.02
1544662,19,4,2.9,11.6
1548817,5,5,5.38,26.9
1548817,7,3,3.86,11.58
1548817,16,2,5.85,11.7
1548817,20,1,1.92,1.92
1561812,9,5,9.19,45.95
1561812,29,5,4.72,23.6
1573947,32,5,2.41,12.05
1583182,4,5,5.89,29.45
1583182,25,1,2.51,2.51
1600839,21,1,5.7,5.7
1600839,26,2,2.25,4.5
1600839,27,4,1.71,6.84
1600839,29,2,4.72,9.44
1600839,32,3,2.41,7.23
1603095,31,1,1.83,1.83
1607336,2,4,0.51,2.04
1607336,31,3,1.83,5.49
1611766,1,5,8.05,40.25
1611766,8,5,7.74,38.7
1618708,2,2,0.51,1.02
1618708,20,2,1.92,3.84
1618708,25,5,2.51,12.55
1656026,3,1,7.38,7.38
1656420,5,4,5.38,21.52
1656420,10,3,1.43,4.29
1656420,13,3,6.91,20.73
1656420,21,2,5.7,11.4
1658053,6,5,0.82,4.1
1658053,36,1,8.84,8.84
1662378,12,4,8.78,35.12
1662378,23,1,5.7,5.7
1662378,25,3,2.51,7.53
1662378,35,3,9.26,27.78
1685119,7,2,3.86,7.72
1685119,8,4,7.74,30.96
1685119,14,2,8.19,16.38
1685119,25,5,2.51,12.55
1685119,36,1,8.84,8.84
1697210,23,4,5.7,22.8
1697563,1,5,8.05,40.25
1697563,2,2,0.51,1.02
1697563,21,5,5.7,28.5
1697563,22,3,1.21,3.63
1697563,24,4,3.97,15.88
1700129,3,2,7.38,14.76
1700129,5,4,5.38,21.52
1700129,7,1,3.86,3.86
1700129,21,3,5.7,17.1
1700129,28,3,3.77,11.31
1704859,33,2,5.52,11.04
1724735,16,3,5.85,17.55
1724735,36,2,8.84,17.68
1735178,17,3,5.43,16.29
1760613,7,5,3.86,19.3
1760613,12,1,8.78,8.78
1765482,24,2,3.97,7.94
1771525,22,3,1.21,3.63
1771525,35,4,9.26,37.04
1797662,20,3,1.92,5.76
1797662,35,2,9.26,18.52
1813082,8,5,7.74,38.7
1813082,12,3,8.78,26.34
1813082,18,1,6.46,6.46
1813082,23,3,5.7,17.1
1813082,29,2,4.72,9.44
1823638,17,1,5.43,5.43
1823638,28,5,3.77,18.85
1823638,31,1,1.83,1.83
1823638,33,5,5.52,27.6
1834210,2,4,0.51,2.04
1834210,12,2,8.78,17.56
1834210,19,1,2.9,2.9
1834210,25,1,2.51,2.51
1834210,33,4,5.52,22.08
1842121,19,4,2.9,11.6
1847370,2,5,0.51,2.55
1847370,4,3,5.89,17.67
1847370,18,1,6.46,6.46
1847370,32,1,2.41,2.41
1850298,35,2,9.26,18.52
1865532,25,3,2.51,7.53
1890084,6,3,0.82,2.46
1890084,7,1,3.86,3.86
1890084,13,1,6.91,6.91
1902508,3,2,7.38,14.76
1902508,15,2,5.56,11.12
1902508,29,1,4.72,4.72
1912923,16,3,5.85,17.55
1916967,17,1,5.43,5.43
1918353,4,1,5.89,5.89
1925352,22,2,1.21,2.42
1926193,3,1,7.38,7.38
1926193,21,5,5.7,28.5
1926193,28,2,3.77,7.54
1928375,13,4,6.91,27.64
1928375,18,5,6.46,32.3
1928375,23,5,5.7,28.5
1931079,4,4,5.89,23.56
1931079,19,5,2.9,14.5
1931079,25,4,2.51,10.04
1931079,34,1,7.1,7.1
1933576,17,3,5.43,16.29
1933576,22,1,1.21,1.21
1933576,36,3,8.84,26.52
1958634,7,1,3.86,3.86
1958634,15,2,5.56,11.12
1961707,10,4,1.43,5.72
1974375,8,5,7.74,38.7
1974375,13,2,6.91,13.82
1974375,26,1,2.25,2.25
1981500,2,3,0.51,1.53
1981500,8,5,7.74,38.7
1981500,16,4,5.85,23.4
1982346,6,4,0.82,3.28
1982346,10,5,1.43,7.15
1982346,32,3,2.41,7.23
1994981,1,1,8.05,8.05
1994981,5,3,5.38,16.14
1994981,20,1,1.92,1.92
1994981,26,4,2.25,9.0
2057229,19,5,2.9,14.5
2057229,24,5,3.97,19.85
2057229,35,2,9.26,18.52
2060626,3,5,7.38,36.9
2060626,25,3,2.51,7.53
2074880,13,3,6.91,20.73
2074880,26,3,2.25,6.75
2074880,27,4,1.71,6.84
2087536,23,4,5.7,22.8
2087609,9,5,9.19,45.95
2090472,13,3,6.91,20.73
2090472,19,3,2.9,8.7
2090472,20,2,1.92,3.84
2091670,29,3,4.72,14.16
2106198,12,3,8.78,26.34
2106198,15,5,5.56,27.8
2106198,25,2,2.51,5.02
2106198,27,1,1.71,1.71
2106198,31,3,1.83,5.49
2125146,4,1,5.89,5.89
2125146,11,4,5.63,22.52
2125146,20,3,1.92,5.76
2218420,9,4,9.19,36.76
2218420,13,5,6.91,34.55
2218420,26,1,2.25,2.25
2218420,35,3,9.26,27.78
2245991,18,1,6.46,6.46
2252383,2,4,0.51,2.04
2252383,6,2,0.82,1.64
2252383,10,4,1.43,5.72
2252383,32,5,2.41,12.05
2257582,14,1,8.19,8.19
2257582,22,1,1.21,1.21
2257582,33,5,5.52,27.6
2257582,36,2,8.84,17.68
2260738,7,5,3.86,19.3
2260738,23,1,5.7,5.7
2260738,28,4,3.77,15.08
2270561,1,5,8.05,40.25
2270561,17,1,5.43,5.43
2270561,31,5,1.83,9.15
2270561,33,3,5.52,16.56
2278442,2,4,0.51,2.04
2278442,3,5,7.38,36.9
2278442,29,2,4.72,9.44
2280528,10,4,1.43,5.72
2280528,18,2,6.46,12.92
2280541,2,5,0.51,2.55
2280541,5,4,5.38,21.52
2280541,16,4,5.85,23.4
2280541,22,3,1.21,3.63
2283680,12,5,8.78,43.9
2286177,11,1,5.63,5.63
2286177,13,3,6.91,20.73
2286177,33,3,5.52,16.56
2286177,35,2,9.26,18.52
2289661,3,4,7.38,29.52
2291051,15,2,5.56,11.12
2291051,20,4,1.92,7.68
2291051,35,1,9.26,9.26
2300598,3,1,7.38,7.38
2300598,4,4,5.89,23.56
2300598,20,5,1.92,9.6
2301825,7,3,3.86,11.58
2330856,14,3,8.19,24.57
2330856,29,2,4.72,9.44
2330856,32,5,2.41,12.05
2330856,35,3,9.26,27.78
2337340,10,2,1.43,2.86
2337340,21,1,5.7,5.7
2337340,27,5,1.71,8.55
2337340,34,2,7.1,14.2
2342350,3,3,7.38,22.14
2342350,9,4,9.19,36.76
2342350,16,4,5.85,23.4
2342350,18,4,6.46,25.84
2342350,35,1,9.26,9.26
2360882,3,2,7.38,14.76
2360882,16,3,5.85,17.55
2367392,24,1,3.97,3.97
2367392,29,4,4.72,18.88
2368142,27,4,1.71,6.84
2370973,2,5,0.51,2.55
2370973,11,4,5.63,22.52
2377103,7,5,3.86,19.3
2377103,11,2,5.63,11.26
2377103,15,1,5.56,5.56
2396748,9,1,9.19,9.19
2396748,16,5,5.85,29.25
2396748,17,4,5.43,21.72
2396748,24,1,3.97,3.97
2396748,26,4,2.25,9.0
2398135,4,5,5.89,29.45
2398135,19,2,2.9,5.8
2398135,35,1,9.26,9.26
2398997,27,5,1.71,8.55
2399931,12,2,8.78,17.56
2399931,18,5,6.46,32.3
2399931,28,2,3.77,7.54
2404788,22,1,1.21,1.21
2406562,8,2,7.74,15.48
2406562,14,3,8.19,24.57
2406562,34,2,7.1,14.2
2417734,12,2,8.78,17.56
2430430,23,2,5.7,11.4
2440352,3,1,7.38,7.38
2440352,29,3,4.72,14.16
2450968,4,5,5.89,29.45
2450968,6,4,0.82,3.28
2450968,16,5,5.85,29.25
2450968,26,1,2.25,2.25
2450968,28,2,3.77,7.54
2452903,7,2,3.86,7.72
2452903,26,3,2.25,6.75
2453612,8,1,7.74,7.74
2453612,12,4,8.78,35.12
2453612,20,2,1.92,3.84
2453612,24,5,3.97,19.85
2453612,35,5,9.26,46.3
2465879,2,2,0.51,1.02
2465879,3,3,7.38,22.14
2465879,11,5,5.63,28.15
2465879,14,1,8.19,8.19
2465879,23,2,5.7,11.4
2473951,5,2,5.38,10.76
2473951,14,5,8.19,40.95
2473951,33,5,5.52,27.6
2483910,1,4,8.05,32.2
2483910,7,1,3.86,3.86
2483910,9,3,9.19,27.57
2483910,10,3,1.43,4.29
2496618,4,2,5.89,11.78
2496618,24,5,3.97,19.85
2496861,3,5,7.38,36.9
2496861,13,3,6.91,20.73
2496861,16,4,5.85,23.4
2496861,36,4,8.84,35.36
2510576,20,1,1.92,1.92
2510576,21,3,5.7,17.1
2510576,29,1,4.72,4.72
2516329,3,5,7.38,36.9
2528928,9,1,9.19,9.19
2542626,23,5,5.7,28.5
2542626,25,1,2.51,2.51
2542626,28,2,3.77,7.54
2543705,8,1,7.74,7.74
2543705,14,3,8.19,24.57
2543705,20,4,1.92,7.68
2543705,21,5,5.7,28.5
2543705,35,4,9.26,37.04
2547591,10,3,1.43,4.29
2547591,21,5,5.7,28.5
2547591,23,5,5.7,28.5
2547591,29,5,4.72,23.6
2554495,6,3,0.82,2.46
2554495,12,3,8.78,26.34
2560382,7,3,3.86,11.58
2560382,11,1,5.63,5.63
2560382,18,3,6.46,19.38
2560382,27,5,1.71,8.55
2570947,12,1,8.78,8.78
2570947,16,4,5.85,23.4
2581283,18,4,6.46,25.84
2581283,22,3,1.21,3.63
2581283,32,4,2.41,9.64
2581283,34,1,7.1,7.1
2585670,1,2,8.05,16.1
2585670,10,4,1.43,5.72
2585670,13,4,6.91,27.64
2585670,23,4,5.7,22.8
2595914,13,3,6.91,20.73
2595914,17,4,5.43,21.72
2595914,23,2,5.7,11.4
2597731,5,4,5.38,21.52
2597731,7,4,3.86,15.44
2597731,16,2,5.85,11.7
2597731,36,2,8.84,17.68
2623526,28,1,3.77,3.77
2641124,1,5,8.05,40.25
2641124,6,3,0.82,2.46
2641124,15,3,5.56,16.68
2641124,25,1,2.51,2.51
2642016,6,3,0.82,2.46
2642016,15,1,5.56,5.56
2642016,18,4,6.46,25.84
2642016,20,5,1.92,9.6
2645080,14,5,8.19,40.95
2656759,12,2,8.78,17.56
2656759,13,5,6.91,34.55
2656759,32,2,2.41,4.82
2656759,34,2,7.1,14.2
2659468,10,1,1.43,1.43
2659468,17,4,5.43,21.72
2659468,28,4,3.77,15.08
2659468,29,2,4.72,9.44
2675931,19,3,2.9,8.7
2675931,28,1,3.77,3.77
2675931,32,4,2.41,9.64
2678020,30,0,1.14,0.0
2688271,9,5,9.19,45.95
2688271,25,5,2.51,12.55
2688271,30,4,1.14,4.56
2699666,26,1,2.25,2.25
2699666,34,2,7.1,14.2
2701884,3,5,7.38,36.9
2701884,10,4,1.43,5.72
2701884,21,1,5.7,5.7
2701884,33,4,5.52,22.08
2701884,36,4,8.84,35.36
2713660,11,5,5.63,28.15
2713660,12,1,8.78,8.78
2713660,21,1,5.7,5.7
2713660,33,2,5.52,11.04
2740190,13,3,6.91,20.73
2746625,4,1,5.89,5.89
2746625,5,5,5.38,26.9
2746625,6,5,0.82,4.1
2746625,15,3,5.56,16.68
2746625,25,5,2.51,12.55
2748227,2,4,0.51,2.04
2748227,10,1,1.43,1.43
2776668,27,1,1.71,1.71
2790570,4,3,5.89,17.67
2790570,7,5,3.86,19.3
2790570,9,1,9.19,9.19
2790570,17,3,5.43,16.29
2790570,32,1,2.41,2.41
2801588,33,5,5.52,27.6
2810511,3,4,7.38,29.52
2810511,20,4,1.92,7.68
2817465,21,4,5.7,22.8
2817465,35,1,9.26,9.26
2828650,12,3,8.78,26.34
2828650,13,3,6.91,20.73
2828650,16,1,5.85,5.85
2828650,25,2,2.51,5.02
2829576,33,0,5.52,0.0
2830368,21,4,5.7,22.8
2841390,27,5,1.71,8.55
2841390,36,1,8.84,8.84
2841456,2,5,0.51,2.55
2841456,7,5,3.86,19.3
2841456,12,2,8.78,17.56
2841456,24,4,3.97,15.88
2842500,22,5,1.21,6.05
2843577,4,3,5.89,17.67
2843577,8,2,7.74,15.48
2843577,13,4,6.91,27.64
2843820,1,4,8.05,32.2
2852493,20,2,1.92,3.84
2852493,27,2,1.71,3.42
2863083,10,1,1.43,1.43
2863083,13,5,6.91,34.55
2903445,17,1,5.43,5.43
2908477,5,2,5.38,10.76
2908477,12,3,8.78,26.34
2908477,21,4,5.7,22.8
2908477,24,1,3.97,3.97
2916960,21,2,5.7,11.4
2916960,34,4,7.1,28.4
2916960,36,2,8.84,17.68
2928964,20,5,1.92,9.6
2932693,6,1,0.82,0.82
2932693,31,3,1.83,5.49
2936192,14,2,8.19,16.38
2936192,17,3,5.43,16.29
2936192,18,4,6.46,25.84
2936202,6,5,0.82,4.1
2936202,28,5,3.77,18.85
2936202,29,5,4.72,23.6
2974575,18,5,6.46,32.3
2980900,15,1,5.56,5.56
2985842,5,4,5.38,21.52
2985842,18,2,6.46,12.92
2985842,22,3,1.21,3.63
2985842,23,1,5.7,5.7
3015766,6,2,0.82,1.64
3029599,21,2,5.7,11.4
3029599,24,2,3.97,7.94
3035377,7,4,3.86,15.44
3035377,23,2,5.7,11.4
3035377,25,4,2.51,10.04
3035377,31,1,1.83,1.83
3035377,35,1,9.26,9.26
3052894,20,5,1.92,9.6
3070120,1,5,8.05,40.25
3070120,5,3,5.38,16.14
3070120,20,4,1.92,7.68
3070120,31,4,1.83,7.32
3087756,12,2,8.78,17.56
3087756,13,1,6.91,6.91
3087756,17,5,5.43,27.15
3087756,34,5,7.1,35.5
3092959,19,3,2.9,8.7
3101191,15,3,5.56,16.68
3101191,30,5,1.14,5.7
3101191,33,4,5.52,22.08
3101191,36,4,8.84,35.36
3117459,9,4,9.19,36.76
3117459,24,1,3.97,3.97
3118576,31,1,1.83,1.83
3159736,4,2,5.89,11.78
3159736,6,5,0.82,4.1
